step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,intersection_stopped,intersection_accumulated_waiting_time,intersection_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
330.0,3,222.0,17.076923076923077,9.577673759876088,3,222.0,0.6057888348846353,3,222.0
335.0,2,208.0,14.857142857142858,9.697963895790334,2,208.0,0.6523172680740873,2,208.0
340.0,3,222.0,15.857142857142858,8.363360766018804,3,222.0,0.5477419705454645,3,222.0
345.0,6,244.0,22.181818181818183,3.172310119183676,6,244.0,0.2239215499446512,6,244.0
350.0,9,283.0,25.727272727272727,0.7198407346209375,9,283.0,0.0022616513987000196,9,283.0
355.0,6,292.0,24.333333333333332,3.250155069259612,6,299.0,0.1551400718445188,6,299.0
360.0,6,322.0,29.272727272727273,4.564683198917237,6,318.0,0.0038332544625886435,6,318.0
365.0,7,357.0,32.45454545454545,4.303304011255936,7,353.0,1.4330769532746625e-06,7,353.0
370.0,7,392.0,32.666666666666664,5.236163565562392,7,388.0,0.125,7,388.0
375.0,7,427.0,30.5,4.9182969628787365,7,423.0,0.19024939269908775,7,423.0
380.0,5,406.0,25.375,6.587833139023752,5,424.0,0.3670106552557401,5,424.0
385.0,5,431.0,35.916666666666664,6.346540334611443,5,427.0,0.3162275413382568,5,427.0
390.0,7,460.0,38.333333333333336,4.371088109428687,7,456.0,0.08345237089071297,7,456.0
395.0,9,500.0,55.55555555555556,0.0004812155888360454,9,496.0,3.5399377023798525e-05,9,496.0
400.0,5,506.0,50.6,3.226294573864389,5,516.0,0.18963316122982085,5,516.0
405.0,5,531.0,53.1,6.049793510894152,5,527.0,0.1625449605818716,5,527.0
410.0,5,556.0,50.54545454545455,6.819841272229504,5,552.0,0.27259273625677194,5,552.0
415.0,0,0.0,0.0,7.8371374486165175,0,204.0,0.26073095453058653,0,204.0
420.0,1,2.0,0.18181818181818182,11.043785179544217,1,2.0,0.0005756551213940405,1,2.0
425.0,1,7.0,0.7,10.539596985775638,1,7.0,0.0,1,7.0
430.0,1,12.0,2.4,7.720995920425457,1,12.0,0.0,1,12.0
435.0,0,0.0,0.0,8.609614794173131,0,0.0,1.0,0,0.0
440.0,0,0.0,0.0,15.609636680163621,0,0.0,1.0,0,0.0
445.0,0,0.0,0.0,13.737327646996965,0,0.0,0.9486878902354425,0,0.0
450.0,0,0.0,0.0,13.443284662756906,0,0.0,0.9519048377808291,0,0.0
455.0,0,0.0,0.0,8.636202573648434,0,0.0,0.5172232147051098,0,0.0
460.0,3,11.0,2.2,5.002478552160071,3,11.0,0.35183737461985226,3,11.0
465.0,4,27.0,3.857142857142857,3.432165243308495,4,27.0,0.28537232503884746,4,27.0
470.0,5,50.0,6.25,2.972789834288238,5,50.0,0.2435088272883093,5,50.0
475.0,4,56.0,7.0,4.033680852850888,4,58.0,0.3130282887768274,4,58.0
480.0,4,76.0,9.5,4.6306530226996445,4,76.0,0.1688749494297093,4,76.0
485.0,5,101.0,12.625,4.511850606376064,5,101.0,0.1550907711491187,5,101.0
490.0,5,126.0,18.0,4.090985885655535,5,126.0,0.2811499484650402,5,126.0
495.0,5,151.0,21.571428571428573,3.438518486587313,5,151.0,0.11558747867122536,5,151.0
500.0,6,178.0,29.666666666666668,0.0001950667684261202,6,178.0,1.2126486341398928e-05,6,178.0
505.0,6,208.0,29.714285714285715,1.5910595441486068,6,208.0,0.1294171544557982,6,208.0
510.0,6,238.0,34.0,1.6902452252621811,6,238.0,0.1374849408938902,6,238.0
515.0,7,269.0,38.42857142857143,0.013702088975274071,7,269.0,0.001114531113434248,7,269.0
520.0,7,304.0,43.42857142857143,0.0,7,304.0,0.0,7,304.0
525.0,7,339.0,48.42857142857143,0.0,7,339.0,0.0,7,339.0
530.0,7,374.0,53.42857142857143,0.0,7,374.0,0.0,7,374.0
535.0,7,409.0,58.42857142857143,0.0,7,409.0,0.0,7,409.0
540.0,7,444.0,49.333333333333336,3.2941392409034322,7,444.0,0.2207356530634929,7,444.0
545.0,7,479.0,47.9,2.941259197687029,7,479.0,0.2008962816091322,7,479.0
550.0,9,522.0,52.2,1.3503077124824288,9,522.0,0.0917036867423576,9,522.0
555.0,9,567.0,56.7,1.3432282583345787,9,567.0,0.09122224150951017,9,567.0
560.0,8,598.0,59.8,1.642516942149459,8,598.0,0.07510305179145771,8,598.0
565.0,9,640.0,58.18181818181818,2.461938288824775,9,640.0,0.09174307961468141,9,640.0
570.0,9,685.0,62.27272727272727,2.5798848924939506,9,685.0,0.09755576040316387,9,685.0
575.0,9,730.0,66.36363636363636,2.4815554540335416,9,730.0,0.17199465144182227,9,730.0
580.0,9,775.0,64.58333333333333,3.116440198617498,9,775.0,0.23917606881442996,9,775.0
585.0,10,821.0,63.15384615384615,2.8350771430598147,10,821.0,0.21729289770538754,10,821.0
590.0,10,871.0,67.0,2.0933190599175675,10,871.0,0.08000584863918549,10,871.0
595.0,12,927.0,71.3076923076923,1.1030073235326856,12,927.0,0.00046199662718932467,12,927.0
